Goroka Airport,-6.081,145.391
Madang Airport,-5.207,145.789
Mount Hagen Kagamuga Airport,-5.826,144.296
Nadzab Airport,-6.569,146.725
Port Moresby Jacksons International Airport,-9.443,147.220
Wewak International Airport,-3.583,143.669
Narsarsuaq Airport,61.160,-45.425
Godthaab / Nuuk Airport,64.190,-51.678
Kangerlussuaq Airport,67.012,-50.711
Thule Air Base,76.531,-68.703
Akureyri Airport,65.660,-18.072
Egilsstaðir Airport,65.283,-14.401
Hornafjörður Airport,64.295,-15.227
Húsavík Airport,65.952,-17.426
Ísafjörður Airport,66.058,-23.135
Keflavik International Airport,63.985,-22.605
Patreksfjörður Airport,65.555,-23.965
Reykjavik Airport,64.129,-21.940
Siglufjörður Airport,66.133,-18.916
Vestmannaeyjar Airport,63.424,-20.278
Sault Ste Marie Airport,46.485,-84.509
Winnipeg / St. Andrews Airport,50.056,-97.032
Halifax / CFB Shearwater Heliport,44.639,-63.499
St. Anthony Airport,51.391,-56.083
Tofino / Long Beach Airport,49.079,-125.775
Kugaaruk Airport,68.534,-89.808
Baie Comeau Airport,49.132,-68.204
CFB Bagotville,48.330,-70.996
Baker Lake Airport,64.298,-96.077
Campbell River Airport,49.950,-125.271
Brandon Municipal Airport,49.91,-99.951
Cambridge Bay Airport,69.108,-105.138
Nanaimo Airport,49.054,-123.869
Castlegar/West Kootenay Regional Airport,49.296,-117.632
Miramichi Airport,47.007,-65.449
Charlo Airport,47.990,-66.330
Kugluktuk Airport,67.816,-115.143
Coronation Airport,52.075,-111.444
Chilliwack Airport,49.152,-121.939
Clyde River Airport,70.486,-68.516
Coral Harbour Airport,64.193,-83.359
Dawson City Airport,64.043,-139.128
Burwash Airport,61.371,-139.041
Princeton Airport,49.468,-120.511
Deer Lake Airport,49.210,-57.391
Dease Lake Airport,58.422,-130.031
Dauphin Barker Airport,51.100,-100.052
Dawson Creek Airport,55.742,-120.182
Edmonton International Airport,53.309,-113.580
Arviat Airport,61.094,-94.070
Estevan Airport,49.210,-102.966
Edson Airport,53.578,-116.464
Eureka Airport,79.994,-85.814
Inuvik Mike Zubko Airport,68.304,-133.483
Iqaluit Airport,63.756,-68.555
Fredericton Airport,45.868,-66.537
Forestville Airport,48.746,-69.097
Flin Flon Airport,54.678,-101.681
Fort Resolution Airport,61.180,-113.690
Fort Simpson Airport,61.760,-121.236
Kingston Norman Rogers Airport,44.225,-76.596
La Grande Rivière Airport,53.625,-77.704
Gaspé (Michel-Pouliot) Airport,48.775,-64.478
Geraldton Greenstone Regional Airport,49.778,-86.939
Îles-de-la-Madeleine Airport,47.424,-61.778
Hudson Bay Airport,52.816,-102.310
Dryden Regional Airport,49.831,-92.744
Ulukhaktok Holman Airport,70.762,-117.805
Gjoa Haven Airport,68.635,-95.849
John C. Munro Hamilton International Airport,43.173,-79.934
Montréal / Saint-Hubert Airport,45.517,-73.416
Hay River / Merlyn Carter Airport,60.839,-115.782
Halifax / Stanfield International Airport,44.880,-63.508
Atikokan Municipal Airport,48.773,-91.638
Pond Inlet Airport,72.683,-77.966
St Jean Airport,45.294,-73.281
Stephenville Airport,48.544,-58.549
Kamloops Airport,50.702,-120.444
Waterloo Airport,43.460,-80.378
Schefferville Airport,54.805,-66.805
Kindersley Airport,51.517,-109.180
Buttonville Municipal Airport,43.862,-79.370
Chapleau Airport,47.819,-83.346
Meadow Lake Airport,54.125,-108.523
Lloydminster Airport,53.309,-110.072
Alert Airport,82.517,-62.280
Kelowna International Airport,49.956,-119.377
Mayo Airport,63.616,-135.867
Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.330,-105.558
Fort McMurray Airport,56.653,-111.222
Moosonee Airport,51.291,-80.607
Maniwaki Airport,46.272,-75.990
Montreal International (Mirabel) Airport,45.679,-74.038
Natashquan Airport,50.189,-61.789
Ottawa / Gatineau Airport,45.521,-75.563
Matagami Airport,49.761,-77.802
Old Crow Airport,67.570,-139.839
CFB Cold Lake,54.404,-110.278
High Level Airport,58.621,-117.165
Ottawa Macdonald-Cartier International Airport,45.322,-75.669
Prince Albert Glass Field,53.214,-105.672
Peace River Airport,56.226,-117.446
Southport Airport,49.903,-98.273
Pitt Meadows Airport,49.216,-122.709
Pickle Lake Airport,51.446,-90.214
Port Menier Airport,49.836,-64.288
Peterborough Airport,44.229,-78.363
Prince Rupert Airport,54.286,-130.445
Fort Chipewyan Airport,58.767,-111.116
Muskoka Airport,44.974,-79.303
Quebec Jean Lesage International Airport,46.791,-71.393
Red Deer Regional Airport,52.182,-113.893
Windsor Airport,42.275,-82.955
Watson Lake Airport,60.116,-128.822
Kenora Airport,49.788,-94.363
Lethbridge County Airport,49.630,-112.800
Greater Moncton International Airport,46.112,-64.678
Comox Airport,49.710,-124.887
Regina International Airport,50.431,-104.666
Thunder Bay Airport,48.371,-89.323
Grande Prairie Airport,55.179,-118.885
Yorkton Municipal Airport,51.264,-102.461
North Battleford Airport,52.769,-108.244
Gander International Airport,48.936,-54.568
Sydney / J.A. Douglas McCurdy Airport,46.161,-60.047
Quesnel Airport,53.026,-122.510
Resolute Bay Airport,74.716,-94.969
Rivière-du-Loup Airport,47.764,-69.584
Roberval Airport,48.520,-72.265
Rocky Mountain House Airport,52.429,-114.903
Rankin Inlet Airport,62.811,-92.115
Sudbury Airport,46.625,-80.798
Sherbrooke Airport,45.438,-71.691
Saint John Airport,45.316,-65.890
Fort Smith Airport,60.020,-111.961
Nanisivik Airport,72.982,-84.613
Summerside Airport,46.440,-63.833
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.993,-125.242
Cape Dorset Airport,64.230,-76.526
Thompson Airport,55.801,-97.864
CFB Trenton,44.118,-77.528
Timmins/Victor M. Power,48.569,-81.376
Billy Bishop Toronto City Centre Airport,43.627,-79.396
Tuktoyaktuk Airport,69.433,-133.026
Montreal / Pierre Elliott Trudeau International Airport,45.470,-73.740
Repulse Bay Airport,66.521,-86.224
Hall Beach Airport,68.776,-81.242
Rouyn Noranda Airport,48.206,-78.835
La Ronge Airport,55.151,-105.262
Vermilion Airport,53.355,-110.823
Qikiqtarjuaq Airport,67.545,-64.031
